"PanelFile","ParameterName","Channel","PinNumber","PinDesignation","Type","SimVar_Logic","Notes"
"front_panel.lua","PIN_EXTINGUISHER_POS1","A","D7","ARDUINO_MEGA2560_A_D7","Input (Digital)","L:Extinguisher","Fire Extinguisher Main"
"front_panel.lua","PIN_EXTINGUISHER_POS2","A","D8","ARDUINO_MEGA2560_A_D8","Input (Digital)","L:Extinguisher","Fire Extinguisher Reserve"
"front_panel.lua","PIN_MARKER_TEST","A","D45","ARDUINO_MEGA2560_A_D45","Input (Digital)","L:TestMarker","Marker Test Left"
"front_panel.lua","PIN_MARKER_TEST2","A","D37","ARDUINO_MEGA2560_A_D37","Input (Digital)","L:TestMarker","Marker Test Right"
"front_panel.lua","PIN_OVERTQ_TEST","A","D49","ARDUINO_MEGA2560_A_D49","Input (Digital)","L:Overtq","Over Torque Test Left"
"front_panel.lua","PIN_OVERTQ_TEST2","A","D33","ARDUINO_MEGA2560_A_D33","Input (Digital)","L:Overtq","Over Torque Test Right"
"front_panel.lua","PIN_CYC_CTR_TEST_L","A","D40","ARDUINO_MEGA2560_A_D40","Input (Digital)","L:Cyctest","Cyclic Center Test Left"
"front_panel.lua","PIN_CYC_CTR_TEST_R","A","D32","ARDUINO_MEGA2560_A_D32","Input (Digital)","L:Cyctest","Cyclic Center Test Right"
"front_panel.lua","PIN_MC_RESET_L","A","D41","ARDUINO_MEGA2560_A_D41","Input (Digital)","","Master Caution Button Left"
"front_panel.lua","PIN_MC_RESET_R","A","D36","ARDUINO_MEGA2560_A_D36","Input (Digital)","","Master Caution Button Right"
"front_panel.lua","PIN_FUEL_SYS_TEST_FWD","A","D53","ARDUINO_MEGA2560_A_D53","Input (Digital)","L:FuelQuantity","Fuel Sys Test Fwd Tank"
"front_panel.lua","PIN_FUEL_SYS_TEST_MID","A","D34","ARDUINO_MEGA2560_A_D34","Input (Digital)","L:FuelQuantity","Fuel Sys Test Mid Tank"
"front_panel.lua","PIN_FUEL_DIGIT_TEST","A","D44","ARDUINO_MEGA2560_A_D44","Input (Digital)","","Fuel Digit Test"
"front_panel.lua","PIN_NAV_GPS_BTN_R","A","D11","ARDUINO_MEGA2560_A_D11","Input (Digital)","","Nav GPS White Right Button"
"front_panel.lua","PIN_NAV_GPS_BTN_L","A","D25","ARDUINO_MEGA2560_A_D25","Input (Digital)","","Nav GPS White Left Button"
"front_panel.lua","PIN_BRG_PTR_LED","A","D3","ARDUINO_MEGA2560_A_D3","Output (LED)","","BRG PTR Switch Left LED"
"front_panel.lua","PIN_BRG_PTR2_LED","A","D13","ARDUINO_MEGA2560_A_D13","Output (LED)","","BRG PTR Switch Right LED"
"front_panel.lua","PIN_FIRE_HANDLE1_LED","A","D5","ARDUINO_MEGA2560_A_D5","Output (LED)","","Fire Handle 1 Status LED Left"
"front_panel.lua","PIN_FIRE_HANDLE2_LED","A","D24","ARDUINO_MEGA2560_A_D24","Output (LED)","","Fire Handle 2 Status LED Right"
"front_panel.lua","PIN_BAG_FIRE_TEST_LED","A","D2","ARDUINO_MEGA2560_A_D2","Output (LED)","","Baggage Fire Test LED"
"front_panel.lua","PIN_MARKER_R_WHT","A","D26","ARDUINO_MEGA2560_A_D26","Input (Digital)","","Marker Right White"
"front_panel.lua","PIN_MARKER_R_RED","A","D27","ARDUINO_MEGA2560_A_D27","Input (Digital)","","Marker Right Red"
"front_panel.lua","PIN_MARKER_R_BLU","A","D28","ARDUINO_MEGA2560_A_D28","Input (Digital)","","Marker Right Blue"
"front_panel.lua","PIN_MARKER_L_WHT","A","D46","ARDUINO_MEGA2560_A_D46","Input (Digital)","","Marker Left White (right)"
"front_panel.lua","PIN_MARKER_L_BLU","A","D47","ARDUINO_MEGA2560_A_D47","Input (Digital)","","Marker Left Blue (left)"
"front_panel.lua","PIN_MARKER_L_RED","A","D48","ARDUINO_MEGA2560_A_D48","Input (Digital)","","Marker Left Red (middle)"
"front_panel.lua","PIN_OVERTQ_LED_L","A","D39","ARDUINO_MEGA2560_A_D39","Output (LED)","","Over Torque LED Left"
"front_panel.lua","PIN_OVERTQ_LED_R","A","D9","ARDUINO_MEGA2560_A_D9","Output (LED)","","Over Torque LED Right"
"front_panel.lua","PIN_CYC_CTR_LED_L","A","D42","ARDUINO_MEGA2560_A_D42","Output (LED)","","Cyclic Center LED Left"
"front_panel.lua","PIN_CYC_CTR_LED_R","A","D30","ARDUINO_MEGA2560_A_D30","Output (LED)","","Cyclic Center LED Right"
"front_panel.lua","PIN_MC_LED_L","A","D43","ARDUINO_MEGA2560_A_D43","Output (LED)","","Master Caution LED Left"
"front_panel.lua","PIN_MC_LED_R","A","D31","ARDUINO_MEGA2560_A_D31","Output (LED)","","Master Caution LED Right"
"front_panel.lua","PIN_ENG1_LED","A","D4","ARDUINO_MEGA2560_A_D4","Output (LED)","","Engine 1 Warning LED"
"front_panel.lua","PIN_ENG2_LED","A","D12","ARDUINO_MEGA2560_A_D12","Output (LED)","","Engine 2 Warning LED"
"over_head.lua","PIN_BATT1_SW","D","D44","ARDUINO_MEGA2560_D_D44","Input (Digital)","","Battery 1"
"over_head.lua","PIN_BATT2_SW","D","D49","ARDUINO_MEGA2560_D_D49","Input (Digital)","","Battery 2"
"over_head.lua","PIN_GEN1_SW_ON","D","D50","ARDUINO_MEGA2560_D_D50","Input (Digital)","","Generator 1 ON"
"over_head.lua","PIN_GEN1_SW_RESET","D","D51","ARDUINO_MEGA2560_D_D51","Input (Digital)","","Generator 1 RESET"
"over_head.lua","PIN_GEN2_SW_ON","D","A9","ARDUINO_MEGA2560_D_A9","Input (Digital)","","Generator 2 ON"
"over_head.lua","PIN_GEN2_SW_RESET","D","A10","ARDUINO_MEGA2560_D_A10","Input (Digital)","","Generator 2 RESET"
"over_head.lua","PIN_INV1_SW","D","A12","ARDUINO_MEGA2560_D_A12","Input (Digital)","","Inverter 1"
"over_head.lua","PIN_INV2_SW","D","A11","ARDUINO_MEGA2560_D_A11","Input (Digital)","","Inverter 2"
"over_head.lua","PIN_NONESNTL_SW","D","A13","ARDUINO_MEGA2560_D_A13","Input (Digital)","","Non-Essential Bus"
"over_head.lua","PIN_EMERGLOAD_SW","D","A14","ARDUINO_MEGA2560_D_A14","Input (Digital)","","Emergency Load"
"over_head.lua","PIN_STBYATT_SW","D","D10","ARDUINO_MEGA2560_D_D10","Input (Digital)","","Standby Attitude"
"over_head.lua","PIN_MAP_DIM_BTN","D","D11","ARDUINO_MEGA2560_D_D11","Input (Digital)","","Map Light Dimmer Button"
"over_head.lua","PIN_PITOT_HEAT","D","D53","ARDUINO_MEGA2560_D_D53","Input (Digital)","","Pitot Heat"
"over_head.lua","PIN_NAV_LIGHTS","D","D15","ARDUINO_MEGA2560_D_D15","Input (Digital)","","Nav Lights"
"over_head.lua","PIN_ANTICOLL","D","D16","ARDUINO_MEGA2560_D_D16","Input (Digital)","","Anti-Collision Lights"
"over_head.lua","PIN_WIPER_PI","D","D17","ARDUINO_MEGA2560_D_D17","Input (Digital)","","Pilot Wiper"
"over_head.lua","PIN_WIPER_CO","D","D18","ARDUINO_MEGA2560_D_D18","Input (Digital)","","Co-Pilot Wiper"
"over_head.lua","PIN_HEATER","D","D43","ARDUINO_MEGA2560_D_D43","Input (Digital)","","Heater"
"over_head.lua","PIN_VENT_BLOWER","D","D36","ARDUINO_MEGA2560_D_D36","Input (Digital)","","Vent Blower"
"over_head.lua","PIN_AFT_OUTLET","D","D37","ARDUINO_MEGA2560_D_D37","Input (Digital)","","Aft Outlet"
"over_head.lua","PIN_DOME_LIGHT","D","D22","ARDUINO_MEGA2560_D_D22","Input (Digital)","","Dome Light"
"over_head.lua","PIN_UTILITY_LT","D","D23","ARDUINO_MEGA2560_D_D23","Input (Digital)","","Utility Light"
"over_head.lua","PIN_FIRE_PULL1","D","D24","ARDUINO_MEGA2560_D_D24","Input (Digital)","","Fire Handle 1"
"over_head.lua","PIN_FIRE_PULL2","D","D25","ARDUINO_MEGA2560_D_D25","Input (Digital)","","Fire Handle 2"
"over_head.lua","PIN_FIRE_TEST","D","D26","ARDUINO_MEGA2560_D_D26","Input (Digital)","","Fire/Bag Test"
"over_head.lua","PIN_COMPASS_SLAVE","D","D27","ARDUINO_MEGA2560_D_D27","Input (Digital)","","Compass Mag/Slave"
"over_head.lua","PIN_RELAY_NON_ESS","D","D40","ARDUINO_MEGA2560_D_D40","Output (Hardware)","","Non-Essential Bus Logic"
"over_head.lua","PIN_RELAY_BAT1_OFF","D","D41","ARDUINO_MEGA2560_D_D41","Output (Hardware)","","Battery 1 Off Logic"
"over_head.lua","PIN_CB_INV1","D","D34","ARDUINO_MEGA2560_D_D34","Input (Digital)","",""
"over_head.lua","PIN_CB_INV2","D","A7","ARDUINO_MEGA2560_D_A7","Input/Output (Verify)","",""
"over_head.lua","PIN_CB_NON_ESS1","D","D29","ARDUINO_MEGA2560_D_D29","Input (Digital)","",""
"over_head.lua","PIN_CB_NON_ESS2","D","D30","ARDUINO_MEGA2560_D_D30","Input (Digital)","",""
"over_head.lua","PIN_CB_ITT1","D","D26","ARDUINO_MEGA2560_D_D26","Input (Digital)","",""
"over_head.lua","PIN_CB_ITT2","D","A2","ARDUINO_MEGA2560_D_A2","Input/Output (Verify)","",""
"over_head.lua","PIN_CB_GEN1_RESET","D","D22","ARDUINO_MEGA2560_D_D22","Input (Digital)","",""
"over_head.lua","PIN_CB_GEN2_RESET","D","A4","ARDUINO_MEGA2560_D_A4","Input/Output (Verify)","",""
"over_head.lua","PIN_CB_IGNITION1","D","D23","ARDUINO_MEGA2560_D_D23","Input (Digital)","",""
"over_head.lua","PIN_CB_IGNITION2","D","A3","ARDUINO_MEGA2560_D_A3","Input/Output (Verify)","",""
"over_head.lua","PIN_CB_ENG_TRQ","D","A5","ARDUINO_MEGA2560_D_A5","Input/Output (Verify)","",""
"over_head.lua","PIN_CB_MSTR_TRQ","D","A6","ARDUINO_MEGA2560_D_A6","Input/Output (Verify)","",""
"over_head.lua","PIN_CB_GEN2_FIELD","D","A8","ARDUINO_MEGA2560_D_A8","Input/Output (Verify)","",""
"over_head.lua","PIN_CB_IDLE_STOP","D","D24","ARDUINO_MEGA2560_D_D24","Input (Digital)","",""
"over_head.lua","PIN_ROTOR_BRAKE","D","D69","ARDUINO_MEGA2560_D_D69","Input (Digital)","",""
"over_head.lua","PIN_INST_CONSOLE","D","D42","ARDUINO_MEGA2560_D_D42","Input (Digital)","",""
"over_head.lua","PIN_INST_SEC","D","D45","ARDUINO_MEGA2560_D_D45","Input (Digital)","",""
"over_head.lua","PIN_INST_ENG","D","D47","ARDUINO_MEGA2560_D_D47","Input (Digital)","",""
"over_head.lua","PIN_MAP_DIMMER","D","A0","ARDUINO_MEGA2560_D_A0","Input (Analog)","","Map Light Dimmer Pot"
"over_head.lua","PIN_GEN1_FAIL_LED","D","D30","ARDUINO_MEGA2560_D_D30","Output (LED)","",""
"over_head.lua","PIN_GEN2_FAIL_LED","D","D31","ARDUINO_MEGA2560_D_D31","Output (LED)","",""
"over_head.lua","PIN_INV1_FAIL_LED","D","D32","ARDUINO_MEGA2560_D_D32","Output (LED)","",""
"over_head.lua","PIN_INV2_FAIL_LED","D","D33","ARDUINO_MEGA2560_D_D33","Output (LED)","",""
"over_head.lua","PIN_BATT_CAUT_LED","D","D34","ARDUINO_MEGA2560_D_D34","Output (LED)","",""
"over_head.lua","PIN_FIRE_ENG1_LED","D","D35","ARDUINO_MEGA2560_D_D35","Output (LED)","",""
"over_head.lua","PIN_FIRE_ENG2_LED","D","D36","ARDUINO_MEGA2560_D_D36","Output (LED)","",""
"over_head.lua","PIN_BAG_FIRE_LED","D","D37","ARDUINO_MEGA2560_D_D37","Output (LED)","",""
"pedestal.lua","PIN_AP1_SW","B","D13","ARDUINO_MEGA2560_B_D13","Input (Digital)","",""
"pedestal.lua","PIN_AP2_SW","B","D12","ARDUINO_MEGA2560_B_D12","Input (Digital)","",""
"pedestal.lua","PIN_AFCS_SAS_SW","B","D10","ARDUINO_MEGA2560_B_D10","Input (Digital)","",""
"pedestal.lua","PIN_AFCS_TEST_SW","B","D9","ARDUINO_MEGA2560_B_D9","Input (Digital)","",""
"pedestal.lua","PIN_AFCS_TRIM_FD_SW","B","D7","ARDUINO_MEGA2560_B_D7","Input (Digital)","",""
"pedestal.lua","PIN_AFCS_CPL_SW","B","D6","ARDUINO_MEGA2560_B_D6","Input (Digital)","",""
"pedestal.lua","PIN_AFCS_SYS2","B","D43","ARDUINO_MEGA2560_B_D43","Input (Digital)","",""
"pedestal.lua","PIN_AP1_LED","B","D5","ARDUINO_MEGA2560_B_D5","Output (LED)","",""
"pedestal.lua","PIN_AP2_LED","B","D4","ARDUINO_MEGA2560_B_D4","Output (LED)","",""
"pedestal.lua","PIN_AFCS_SAS_LED","B","D2","ARDUINO_MEGA2560_B_D2","Output (LED)","",""
"pedestal.lua","PIN_AFCS_ATT_LED","B","D3","ARDUINO_MEGA2560_B_D3","Output (LED)","",""
"pedestal.lua","PIN_AFCS_TRIM_LED","B","A1","ARDUINO_MEGA2560_B_A1","Output (LED)","","Analog as Digital"
"pedestal.lua","PIN_AFCS_TEST_LED","B","A2","ARDUINO_MEGA2560_B_A2","Output (LED)","","Analog as Digital"
"pedestal.lua","PIN_AFCS_FD_LED","B","A3","ARDUINO_MEGA2560_B_A3","Output (LED)","","Analog as Digital"
"pedestal.lua","PIN_AFCS_CPL_LED","B","A4","ARDUINO_MEGA2560_B_A4","Output (LED)","","Analog as Digital"
"pedestal.lua","PIN_AHRS_TEST_1","B","D53","ARDUINO_MEGA2560_B_D53","Input (Digital)","",""
"pedestal.lua","PIN_AHRS_TEST_2","B","D49","ARDUINO_MEGA2560_B_D49","Input (Digital)","",""
